Fracture Date,Year,UWI,Well Area Name,Latitude_dd,Longitude_dd,Total Water Volume (m^3)
2025-06-30,2025,200A011I094B1600,TOWN,56.89640833333333,-121.95127777777778,36987.1
2025-06-30,2025,200B030L094A1300,TOWN,56.896499999999996,-121.95145555555555,38534.6
2025-06-30,2025,203D100E094A1300,TOWN,56.89637777777778,-121.95121666666667,22804.5
2025-06-30,2025,200C076E094A1300,TOWN,56.89612777777778,-121.95085833333333,35822.8
2025-06-23,2025,100160308524W600,INGA,56.32814722222223,-121.65206388888889,46577.72
2025-06-23,2025,100041108524W600,INGA,56.32841666666667,-121.65204444444446,45382.78
2025-06-23,2025,102160308524W600,INGA,56.32823611111112,-121.65205555555556,44727.63
2025-06-23,2025,102041108524W600,INGA,56.32832500000001,-121.65205,45539.22
2025-06-22,2025,100063008423W600,INGA,56.32813055555556,-121.65125555555557,38360.26
2025-06-22,2025,100093008423W600,INGA,56.32839722222223,-121.65123611111112,38479.53
2025-06-22,2025,102093008423W600,INGA,56.32830833333334,-121.65124166666668,36537.82
2025-06-22,2025,100073008423W600,INGA,56.32821944444445,-121.65125,36255.23
2025-06-15,2025,200D021F094H0400,NIG CREEK,57.10503333333333,-121.78903888888888,10066.04
2025-06-14,2025,102131807816W600,SUNRISE,55.787752777777776,-120.5316888888889,24408.9
2025-06-14,2025,103131807816W600,SUNRISE,55.787752777777776,-120.53153055555555,22486.7
2025-06-14,2025,102161307817W600,SUNRISE,55.787752777777776,-120.53185,25511.9
2025-06-13,2025,100161307817W600,SUNRISE,55.787752777777776,-120.53216944444445,24685.1
2025-06-13,2025,100131807816W600,SUNRISE,55.787752777777776,-120.53200833333334,24461.5
2025-06-13,2025,204D044I094B1600,BEG,56.97294166666667,-122.06866944444444,21387.32
2025-06-13,2025,202A044I094B1600,BEG,56.97291388888889,-122.06873333333333,23375.6
2025-06-13,2025,202A034I094B1600,BEG,56.972833333333334,-122.068925,32172.9
2025-06-13,2025,200A011F094H0400,NIG CREEK,57.104975,-121.7891638888889,12463.98
2025-06-13,2025,200D044I094B1600,BEG,56.973025,-122.06847777777777,17396.93
2025-06-13,2025,202D044I094B1600,BEG,56.972997222222226,-122.06854166666666,14679.46
2025-06-13,2025,203D044I094B1600,BEG,56.972969444444445,-122.06860555555555,16624.68
2025-06-12,2025,200A044I094B1600,BEG,56.972886111111116,-122.06879722222222,18701.34
2025-06-12,2025,200D001F094H0400,NIG CREEK,57.10494722222222,-121.789225,13981.18
2025-06-12,2025,200A034I094B1600,BEG,56.97280555555556,-122.06898888888888,24787.54
2025-06-12,2025,202D034I094B1600,BEG,56.972861111111115,-122.0688611111111,21220.22
2025-06-10,2025,200D011F094H0400,NIG CREEK,57.10500555555556,-121.78910277777777,10521.41
2025-06-09,2025,200C001F094H0400,NIG CREEK,57.10491944444445,-121.78928611111111,18786.26
2025-06-09,2025,200C100B094H0400,NIG CREEK,57.10486111111111,-121.78940833333333,28916.47
2025-06-09,2025,200A001F094H0400,NIG CREEK,57.10489166666667,-121.78934166666666,19751.6
2025-06-09,2025,200D091C094H0400,NIG CREEK,57.10480277777778,-121.78953333333334,29844.75
2025-06-07,2025,202C100B094H0400,NIG CREEK,57.10483055555556,-121.78946944444444,19059.77
2025-05-31,2025,102031008114W600,MICA,56.03874722222222,-120.11644166666666,32085.0
2025-05-31,2025,100031008114W600,MICA,56.03881666666666,-120.11643055555555,35879.0
2025-05-31,2025,100041008114W600,MICA,56.03888333333333,-120.11641944444443,29719.0
2025-05-31,2025,100010908114W600,MICA,56.03895,-120.11640833333333,33659.0
2025-05-26,2025,102022608017W600,TOWER LAKE,55.98634722222222,-120.59287499999999,28542.0
2025-05-26,2025,102012608017W600,TOWER LAKE,55.98634444444445,-120.5934361111111,29924.0
2025-05-26,2025,100022608017W600,TOWER LAKE,55.98634444444445,-120.59359722222221,34174.0
2025-05-26,2025,100082608017W600,TOWER LAKE,55.98634722222222,-120.59239444444444,26515.0
2025-05-26,2025,102082608017W600,TOWER LAKE,55.98634722222222,-120.59255555555555,30334.0
2025-05-26,2025,103082608017W600,TOWER LAKE,55.98634722222222,-120.59271666666666,26066.0
2025-05-26,2025,103022608017W600,TOWER LAKE,55.98634444444445,-120.59375833333333,25934.0
2025-05-26,2025,100012608017W600,TOWER LAKE,55.98634722222222,-120.5922361111111,33672.0
2025-05-25,2025,102113308724W600,BERNADET,56.563494444444444,-121.73925833333334,30525.0
2025-05-22,2025,100113308724W600,BERNADET,56.56344722222222,-121.7394861111111,26897.0
2025-05-20,2025,200C046H093P0900,SWAN LAKE,55.644875,-120.14182777777778,30960.0
2025-05-20,2025,200D048H093P0900,SWAN LAKE,55.64488055555555,-120.14198611111112,22563.0
2025-05-19,2025,202D037H093P0900,SWAN LAKE,55.64488333333333,-120.14214444444445,29603.0
2025-05-09,2025,200B003K094A1300,FIREWEED,56.925675,-121.69824722222222,30487.8
2025-05-09,2025,200C003K094A1300,FIREWEED,56.925638888888884,-121.69834722222222,30917.39
2025-05-09,2025,102132607915W600,DOE,55.89004166666667,-120.29854999999999,27785.12
2025-05-09,2025,100162707915W600,DOE,55.88995,-120.29855277777777,27612.79
2025-05-09,2025,100083207915W600,DOE,55.88986111111111,-120.29855277777777,32173.46
2025-05-08,2025,102102807915W600,DOE,55.88941111111111,-120.29855555555555,12737.03
2025-05-08,2025,100062607915W600,DOE,55.88932222222222,-120.29855555555555,38792.13
2025-05-08,2025,100022807915W600,DOE,55.88968055555556,-120.29855277777777,15624.17
2025-05-08,2025,102122607915W600,DOE,55.88923333333333,-120.29855555555555,31681.87
2025-05-08,2025,100102807915W600,DOE,55.88950277777778,-120.29855555555555,12125.57
2025-05-08,2025,102162707915W600,DOE,55.88977222222222,-120.29855277777777,27092.84
2025-05-08,2025,102022807915W600,DOE,55.88959166666667,-120.29855277777777,18294.41
2025-05-04,2025,200B001K094H0400,NIG CREEK,57.13318611111111,-121.74841666666667,28558.9
2025-05-04,2025,202B001K094H0400,NIG CREEK,57.133205555555556,-121.74878611111112,26321.6
2025-05-04,2025,200A001K094H0400,NIG CREEK,57.133180555555555,-121.74829444444444,24152.8
2025-05-03,2025,202A001K094H0400,NIG CREEK,57.13319444444444,-121.74853888888889,22027.6
2025-05-03,2025,203A001K094H0400,NIG CREEK,57.1332,-121.74866388888888,23607.7
2025-04-30,2025,207C021H094B0800,ALTARES,56.33801944444445,-121.96442777777779,22173.64
2025-04-30,2025,202B031H094B0800,ALTARES,56.33827222222222,-121.9642,27845.39
2025-04-30,2025,204C021H094B0800,ALTARES,56.33788055555556,-121.964625,21005.2
2025-04-30,2025,100060108526W600,ALTARES,56.337941666666666,-121.96455833333333,25915.4
2025-04-30,2025,206C021H094B0800,ALTARES,56.33800277777778,-121.96449444444444,22032.04
2025-04-30,2025,203B021H094B0800,ALTARES,56.337697222222225,-121.96531111111112,21537.97
2025-04-30,2025,204B021H094B0800,ALTARES,56.33775555555556,-121.96475833333334,25084.39
2025-04-30,2025,200A022H094B0800,ALTARES,56.33781666666667,-121.96469166666667,20847.28
2025-04-28,2025,100152008422W600,ATTACHIE,56.31078888888889,-121.44221944444445,144.14
2025-04-27,2025,100132208019W600,GROUNDBIRCH,55.94316944444444,-120.84654444444443,23735.0
2025-04-27,2025,100162108019W600,GROUNDBIRCH,55.94354444444444,-120.84654444444443,18955.0
2025-04-27,2025,100152008422W600,ATTACHIE,56.31078888888889,-121.44221944444445,144.14
2025-04-27,2025,100152108019W600,GROUNDBIRCH,55.94307777777777,-120.8466111111111,39134.0
2025-04-27,2025,100152208019W600,GROUNDBIRCH,55.94322777777777,-120.84644999999999,17826.0
2025-04-26,2025,102152108019W600,GROUNDBIRCH,55.94310833333333,-120.84658888888889,30785.0
